file,page_num,line_num,text,lang,lang_score,perplex,categ
CTX199904249,176,32,Fotodokumentace,ces_Latn,0.9007,3640.31,Trash
CTX199904249,176,33,Kameny - počet:,ces_Latn,0.9341,2103.08,Trash
CTX199904249,176,34,aaca 4:,nld_Latn,0.9235,4416.44,Trash
CTX199904249,176,35,Mazanice - počet:,hrv_Latn,0.7147,1744.19,Trash
CTX199904249,176,36,Kosti - počet:,bos_Latn,0.5685,872.62,Trash
CTX199904249,176,37,Kov - počet:,slk_Latn,0.7603,1537.49,Trash
CTX199904249,176,38,Stříbro - počet:,ces_Latn,0.9999,512.78,Trash
CTX199904249,176,39,Brunz - počet:,bos_Latn,0.5138,987.39,Trash
CTX199904249,176,40,Broušená industrie - počet:,ces_Latn,0.7708,1196.76,Trash
CTX199904249,176,41,Štípaná industrie - počet:,slk_Latn,0.9500,985.18,Trash
CTX199904249,176,42,Sklo - počet;,hrv_Latn,0.6079,2250.04,Trash
CTX199904249,176,43,Uhliky - počet:,ces_Latn,0.6368,3377.33,Trash
CTX199904249,176,44,Vzorek výplně - váha:,ces_Latn,1.0000,308.76,Noisy
CTX199904249,176,45,Datace 2:,ces_Latn,0.8802,2152.47,Trash
CTX199904249,176,46,Fotodokumentace - čisla diasnimku:,ces_Latn,0.5013,1008.87,Trash
CTX199904249,176,47,Odkaz na text NZ:,ces_Latn,0.9712,9115.73,Trash
CTX199904249,499,2,Vyzkum,ces_Latn,0.9985,4525.93,Trash
CTX199904249,499,3,Turnov,vie_Latn,0.6003,40785.12,Trash
CTX199904249,499,4,Maškovy zahrady,ces_Latn,0.9849,865.11,Trash
CTX199904249,499,5,Dotumn,vie_Latn,0.7280,31723.01,Trash
CTX199904249,499,9,Poélloeovy soubor,ces_Latn,0.9993,53596.77,Trash
CTX199904249,499,10,F4.cdr,deu_Latn,0.5327,412.18,Noisy
CTX199904249,499,11,M. Čermák,ces_Latn,0.5926,478.09,Noisy
CTX199904249,499,12,M. Čermák,ces_Latn,0.5926,478.09,Noisy
CTX199904249,794,2,PŘIČÍSLO,deu_Latn,0.5050,614.03,Trash
CTX199904249,794,4,LOKALITA,kor_Hang,0.9309,141.37,Noisy
